Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Greece,Europe,c,2020,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,3,3,4,4,14,4,4,4,12,3,3,3,2,11,4,3,4,3,14,51,88
Grenada,Americas,c,2020,F,1,2,4,4,3,11,4,4,4,4,16,4,3,3,10,0,N/A,37,3,4,4,4,15,4,4,3,11,4,3,3,3,13,4,3,3,3,13,52,89
Guatemala,Americas,c,2020,PF,4,4,2,3,2,7,3,3,2,2,10,2,1,1,4,0,N/A,21,2,4,3,2,11,2,2,2,6,2,1,2,1,6,3,2,2,1,8,31,52
Guinea,SSA,c,2020,PF,5,5,3,0,2,5,2,2,1,2,7,1,1,1,3,0,N/A,15,2,3,3,3,11,1,1,2,4,1,1,1,1,4,2,2,1,1,6,25,40
Guinea-Bissau,SSA,c,2020,PF,5,4,2,3,2,7,3,2,1,2,8,1,1,0,2,0,N/A,17,2,3,3,3,11,2,3,3,8,1,0,2,2,5,2,1,1,1,5,29,46
Guyana,Americas,c,2020,F,2,3,3,4,3,10,4,4,3,2,13,4,2,2,8,0,N/A,31,3,4,4,4,15,4,4,3,11,2,2,2,2,8,3,2,2,2,9,43,74
Haiti,Americas,c,2020,PF,5,5,2,1,2,5,2,1,2,2,7,1,1,2,4,0,N/A,16,2,3,2,3,10,1,1,1,3,1,1,1,1,4,1,2,2,0,5,22,38
Honduras,Americas,c,2020,PF,4,4,2,3,2,7,3,2,1,2,8,2,1,1,4,0,N/A,19,1,4,2,2,9,1,1,2,4,1,2,1,1,5,2,2,2,2,8,26,45
Hong Kong,Asia,t,2020,PF,5,3,0,1,1,2,2,2,1,3,8,1,3,2,6,0,N/A,16,2,4,1,3,10,1,3,2,6,2,3,2,3,10,3,3,4,3,13,39,55
Hungary,Europe,c,2020,PF,3,3,3,3,3,9,3,2,3,3,11,3,2,2,7,0,N/A,27,2,3,2,3,10,4,2,4,10,2,3,3,2,10,4,3,3,3,13,43,70
Iceland,Europe,c,2020,F,1,1,4,4,4,12,4,4,3,4,15,4,3,3,10,0,N/A,37,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,94
India,Asia,c,2020,F,2,3,4,4,4,12,4,4,3,2,13,4,2,3,9,0,N/A,34,2,2,2,4,10,2,3,3,8,3,2,2,2,9,3,3,2,2,10,37,71
Indian Kashmir,Asia,t,2020,NF,6,5,0,0,2,2,1,1,0,2,4,0,1,1,2,0,N/A,8,1,2,1,2,6,0,1,2,3,1,1,1,1,4,1,2,2,2,7,20,28
